#  longitude, latitude (or opposite), vx_mps
-3.839330581318380758e-02,3.963761470501131612e+01,1.837701926029536281e+01
-3.837186771824626502e-02,3.963761629127947828e+01,1.892205331335033591e+01
-3.835042825209664108e-02,3.963761794307384179e+01,1.945051693827536710e+01
-3.832900824299591974e-02,3.963761957260843616e+01,1.996372926934760272e+01
-3.830758805471735223e-02,3.963762119857354804e+01,2.046284094464444792e+01
-3.828616756306701951e-02,3.963762282920372826e+01,2.094886285267270765e+01
-3.826474804611425251e-02,3.963762445772602661e+01,2.142268886026482733e+01
-3.824332725846688735e-02,3.963762608561539480e+01,2.188511399430522175e+01
-3.822190574226907306e-02,3.963762771357983894e+01,2.233684914203289651e+01
-3.820048529729200976e-02,3.963762934115516856e+01,2.277853305188075694e+01
-3.817906377790258182e-02,3.963763096881261561e+01,2.321074221730987119e+01
-3.815764371767121216e-02,3.963763259661907057e+01,2.363399908312139885e+01
-3.813622223645189019e-02,3.963763422495613042e+01,2.404877890978851696e+01
-3.811480177691472376e-02,3.963763585381820320e+01,2.445551555478450823e+01
-3.809338355677188703e-02,3.963763748299959389e+01,2.485460637279971507e+01
-3.807196368558655314e-02,3.963763911246917360e+01,2.524641639370177870e+01
-3.805054541998439954e-02,3.963764074165462148e+01,2.563128190430739650e+01
-3.802912418952161810e-02,3.963764237063882234e+01,2.600951353481896788e+01
-3.800770609533945382e-02,3.963764399869815236e+01,2.638139893120943924e+01
-3.798628818028379484e-02,3.963764562571887495e+01,2.557362713743121319e+01
-3.796486387096599524e-02,3.963764725217910012e+01,2.458932018176767897e+01
-3.794344756297386018e-02,3.963764887671708692e+01,2.356890287452345945e+01
-3.792203105309176203e-02,3.963765049856078804e+01,2.250225858591088723e+01
-3.790059963306943031e-02,3.963765212098949320e+01,2.138668661260597759e+01
-3.787917522270248943e-02,3.963765374247772399e+01,2.022637868705484365e+01
-3.785772310853918049e-02,3.963765535449665833e+01,1.900972544514086948e+01
-3.783632533834006828e-02,3.963765699134501119e+01,1.776698197514291877e+01
-3.781487265273793252e-02,3.963765866564921225e+01,1.655283322775727584e+01
-3.779341828939701553e-02,3.963766016048138141e+01,1.530662616405722787e+01
-3.777207590562203787e-02,3.963766200893552849e+01,1.476698120622218902e+01
-3.775082726862203503e-02,3.963766492265744290e+01,1.435659788605185483e+01
-3.772964941890417923e-02,3.963766827431970086e+01,1.334214748699014308e+01
-3.770885654676639498e-02,3.963767261259410901e+01,1.247223559343231969e+01
-3.768839464574463144e-02,3.963767810655031099e+01,1.158357237620085911e+01
-3.766773372168739920e-02,3.963768319325722445e+01,1.131198297355666149e+01
-3.764843450865444641e-02,3.963769075370510109e+01,1.129788775564503922e+01
-3.763082643023316770e-02,3.963770122673484053e+01,1.128377493059270442e+01
-3.761362196095340005e-02,3.963771201383215015e+01,1.217284420875480677e+01
-3.759660010630069132e-02,3.963772302443067730e+01,1.200810762975540591e+01
-3.758111266012296309e-02,3.963773543526829712e+01,1.129724470728984898e+01
-3.756712161221278240e-02,3.963774905772303470e+01,1.048997362767078201e+01
-3.755275374123279858e-02,3.963776255184506425e+01,1.047690266880222154e+01
-3.754158085715030013e-02,3.963777787920468398e+01,1.046381538225334573e+01
-3.753266664727158280e-02,3.963779430328060016e+01,1.061399503610059547e+01
-3.752643041966929882e-02,3.963781117085978423e+01,1.060076954121641357e+01
-3.752410792945847645e-02,3.963782896248097387e+01,1.058752752561216504e+01
-3.752349793509721088e-02,3.963784696172471200e+01,1.033194295261570517e+01
-3.752547601044646519e-02,3.963786487554519056e+01,9.545882190794452882e+00
-3.753127593583283073e-02,3.963788216746708315e+01,9.533987610511537980e+00
-3.754173216917680578e-02,3.963789768762905652e+01,9.522078172029901921e+00
-3.755359950538841862e-02,3.963791262711425389e+01,1.056484960187844813e+01
-3.756538799559070579e-02,3.963792775441609706e+01,1.151129116817693898e+01
-3.757875025432966948e-02,3.963794180665665579e+01,1.228817001243276330e+01
-3.759376544795463987e-02,3.963795469453722831e+01,1.293438008872367107e+01
-3.760982553792533573e-02,3.963796671556023909e+01,1.371323962616439651e+01
-3.762644599522661781e-02,3.963797811550479366e+01,1.444838656544141209e+01
-3.764366559204326834e-02,3.963798887971146456e+01,1.514619151996241264e+01
-3.766145379899243917e-02,3.963799896919294952e+01,1.581160332625293741e+01
-3.767974237276115052e-02,3.963800842695473392e+01,1.644855767663812074e+01
-3.769835636511489202e-02,3.963801740303767218e+01,1.605705101828192838e+01
-3.771711005431650776e-02,3.963802622592324809e+01,1.524225954048010223e+01
-3.773634998905933680e-02,3.963803424185551449e+01,1.522326702871706239e+01
-3.775638133670971425e-02,3.963804078001981424e+01,1.520425079232420984e+01
-3.777668661645239290e-02,3.963804668494921657e+01,1.586708935991792480e+01
-3.779703392191949285e-02,3.963805253550707874e+01,1.531914936457605769e+01
-3.781752753053774924e-02,3.963805800052652017e+01,1.530006104478109741e+01
-3.783847852416387381e-02,3.963806199413271969e+01,1.528094888067704460e+01
-3.785967251948465367e-02,3.963806513582427016e+01,1.594041541168779297e+01
-3.788090368492096766e-02,3.963806800793611984e+01,1.657211156033579158e+01
-3.790221934565902312e-02,3.963807037707758241e+01,1.717910478624645165e+01
-3.792362272188166961e-02,3.963807220369605488e+01,1.776393116943508232e+01
-3.794508613230893751e-02,3.963807335160288403e+01,1.832871619303229593e+01
-3.796659404879732663e-02,3.963807365567483743e+01,1.864816166189663704e+01
-3.798810527547779453e-02,3.963807340037861593e+01,1.918484122781792678e+01
-3.800959826584713458e-02,3.963807296091570720e+01,1.970562452598755598e+01
-3.803109652495400422e-02,3.963807257124010164e+01,1.892503262007643627e+01
-3.805259727045805229e-02,3.963807206921881487e+01,1.834891850864428520e+01
-3.807405237496062911e-02,3.963807083909686924e+01,1.832605496602522877e+01
-3.809536503670395147e-02,3.963806843718241879e+01,1.830316286325090402e+01
-3.811652386951704108e-02,3.963806524045181590e+01,1.878107991435114954e+01
-3.813758306772702805e-02,3.963806157542178710e+01,1.931374487002197071e+01
-3.815856286861552676e-02,3.963805760530213007e+01,1.983083093384667350e+01
-3.817944811975995667e-02,3.963805334507682687e+01,2.033352977500559433e+01
-3.820027700027452816e-02,3.963804885204933015e+01,2.082288644341669226e+01
-3.822104727330875862e-02,3.963804416760194727e+01,2.129982351014610487e+01
-3.824173745085416437e-02,3.963803927866384669e+01,2.176516032203834783e+01
-3.826239228748059412e-02,3.963803424888546800e+01,2.221962852779251563e+01
-3.828301944345786911e-02,3.963802915232918167e+01,2.266388472203200877e+01
-3.830361576028661064e-02,3.963802398123046089e+01,2.309852083568401326e+01
-3.832410976272801473e-02,3.963801853377765383e+01,2.352407274521123881e+01
-3.834448374107465862e-02,3.963801277202537676e+01,2.394102746039894569e+01
-3.836481719137158075e-02,3.963800691996242875e+01,2.434982916755983595e+01
-3.838515013744516619e-02,3.963800106398880985e+01,2.475088434344460353e+01
-3.840548453331932982e-02,3.963799520765283546e+01,2.514456610885305210e+01
-3.842580372099960173e-02,3.963798932341944692e+01,2.553121795577051145e+01
-3.844612213301916437e-02,3.963798343021800008e+01,2.591115695486774584e+01
-3.846644292102260887e-02,3.963797754116183825e+01,2.628467652930958920e+01
-3.848676125276501159e-02,3.963797164735500900e+01,2.665204886450198174e+01
-3.850708693508412411e-02,3.963796576886406342e+01,2.701352701056409344e+01
-3.852737424972332847e-02,3.963795980909462457e+01,2.736934672412953162e+01
-3.854754201202433006e-02,3.963795356412155257e+01,2.767524252252560402e+01
-3.856758144704848512e-02,3.963794704151202097e+01,2.802104911967169087e+01
-3.858754791113035848e-02,3.963794036768813100e+01,2.836179209874827833e+01
-3.860752075174634507e-02,3.963793369852976411e+01,2.869765392154221928e+01
-3.862749650489389480e-02,3.963792704220539065e+01,2.902880607559584902e+01
-3.864746729487064658e-02,3.963792037697731274e+01,2.905571744262058687e+01
-3.866743517858153151e-02,3.963791370040694773e+01,2.820275160559224403e+01
-3.868739894216210312e-02,3.963790701890259527e+01,2.731438304212308665e+01
-3.870736591401720272e-02,3.963790034279846708e+01,2.642273784502555856e+01
-3.872733484517418973e-02,3.963789367178650025e+01,2.556072214792849095e+01
-3.874727336265908900e-02,3.963788693336034186e+01,2.500704542145478015e+01
-3.876706468740596934e-02,3.963787990487058721e+01,2.497588556598423892e+01
-3.878658970960333074e-02,3.963787237571645505e+01,2.494468678696080843e+01
-3.880601314409354990e-02,3.963786465845948470e+01,2.533488269947240212e+01
-3.882541845686952181e-02,3.963785691373139031e+01,2.571820717727700156e+01
-3.884476793283045404e-02,3.963784907284754411e+01,2.609496538129741694e+01
-3.886408674737951846e-02,3.963784117943249896e+01,2.646544004741974376e+01
-3.888337294437419628e-02,3.963783322680797738e+01,2.682989373926703536e+01
-3.890258620899886277e-02,3.963782515762887471e+01,2.718857081766719119e+01
-3.892172938818657529e-02,3.963781696331733428e+01,2.666636443077360852e+01
-3.894080754153263907e-02,3.963780867103321981e+01,2.589050732368484375e+01
-3.895984329990154899e-02,3.963780030104233987e+01,2.507155094806060447e+01
